Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Quarter,Order Week,Order Day,Shipping Days,Profit Margin,Sales Bucket,Profit Bucket
1,Us-2020-103800,2020-01-03,2020-01-07,Standard Class,Dp-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,Off-Pa-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.551199999999998,2020,January,1,1,Friday,4,0.33749999999999986,Low,Low Profit
2,Us-2020-112326,2020-01-04,2020-01-08,Standard Class,Po-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Off-Bi-10004094,Office Supplies,Binders,Gbc Standard Plastic Binding Systems Combs,3.539999999999999,2,0.8,-5.487,2020,January,1,1,Saturday,4,-1.5500000000000005,Low,Loss
3,Us-2020-112326,2020-01-04,2020-01-08,Standard Class,Po-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Off-La-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.271699999999999,2020,January,1,1,Saturday,4,0.36249999999999993,Low,Low Profit
4,Us-2020-112326,2020-01-04,2020-01-08,Standard Class,Po-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Off-St-10002743,Office Supplies,Storage,Safco Boltless Steel Shelving,272.736,3,0.2,-64.77480000000001,2020,January,1,1,Saturday,4,-0.23750000000000004,Medium,Loss
5,Us-2020-141817,2020-01-05,2020-01-12,Standard Class,Mb-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Off-Ar-10003478,Office Supplies,Art,"Avery Hi-Liter Everbold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,2020,January,1,1,Sunday,7,0.25,Low,Low Profit
6,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Fur-Ch-10004063,Furniture,Chairs,Global Deluxe High-Back Manager'S Chair,2573.82,9,0.0,746.4077999999997,2020,January,1,2,Monday,4,0.28999999999999987,Very High,High Profit
7,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Ar-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796000000000005,2020,January,1,2,Monday,4,0.2700000000000001,Low,Low Profit
8,Us-2020-106054,2020-01-06,2020-01-07,First Class,Jo-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,Off-Ar-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set With Brush",12.78,3,0.0,5.2398,2020,January,1,2,Monday,1,0.41000000000000003,Low,Low Profit
9,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Bi-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,2020,January,1,2,Monday,4,0.44999999999999996,High,High Profit
10,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Fa-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3111999999999995,2020,January,1,2,Monday,4,0.009999999999999983,Low,Low Profit
11,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Pa-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,2020,January,1,2,Monday,4,0.45999999999999996,Low,Low Profit
12,Us-2020-130813,2020-01-06,2020-01-08,Second Class,Ls-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,Off-Pa-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.3312,2020,January,1,2,Monday,2,0.48000000000000004,Low,Low Profit
13,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Tec-Ph-10004539,Technology,Phones,Wireless Extenders Zboost Yx545 Soho Signal Booster,755.96,4,0.0,204.1092,2020,January,1,2,Monday,4,0.26999999999999996,High,High Profit
14,Us-2020-167199,2020-01-06,2020-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Tec-Ph-10004977,Technology,Phones,Ge 30524Ee4,391.98,2,0.0,113.67419999999998,2020,January,1,2,Monday,4,0.2899999999999999,Medium,High Profit
15,Us-2020-105417,2020-01-07,2020-01-12,Standard Class,Vs-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,Fur-Fu-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,3,0.6,-53.70959999999999,2020,January,1,2,Tuesday,5,-0.6999999999999997,Low,Loss
16,Us-2020-105417,2020-01-07,2020-01-12,Standard Class,Vs-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,Off-Bi-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder With Label Holder, Smoke, 1""",10.429999999999998,7,0.8,-18.252500000000005,2020,January,1,2,Tuesday,5,-1.7500000000000009,Low,Loss
17,Us-2020-135405,2020-01-09,2020-01-13,Standard Class,Ms-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,Off-Ar-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.1679999999999997,2020,January,1,2,Thursday,4,0.12499999999999997,Low,Low Profit
18,Us-2020-135405,2020-01-09,2020-01-13,Standard Class,Ms-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,Tec-Ac-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 Gb,31.200000000000003,3,0.2,9.749999999999996,2020,January,1,2,Thursday,4,0.31249999999999983,Low,Low Profit
19,Us-2020-149020,2020-01-10,2020-01-15,Standard Class,Aj-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,Fur-Fu-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954,2020,January,1,2,Friday,5,0.41000000000000003,Low,Low Profit
20,Us-2020-149020,2020-01-10,2020-01-15,Standard Class,Aj-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,Off-La-10004272,Office Supplies,Labels,Avery 482,2.89,1,0.0,1.3583,2020,January,1,2,Friday,5,0.47000000000000003,Low,Low Profit
21,Us-2020-130092,2020-01-11,2020-01-14,First Class,Sv-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,Fur-Fu-10000010,Furniture,Furnishings,"Dax Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.0813999999999995,2020,January,1,2,Saturday,3,0.30999999999999994,Low,Low Profit
22,Us-2020-157147,2020-01-13,2020-01-18,Standard Class,Bd-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Fur-Bo-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.99899999999997,3,0.15,3.929400000000008,2020,January,1,3,Monday,5,0.011764705882352967,Medium,Low Profit
23,Us-2020-109232,2020-01-13,2020-01-16,Second Class,Nd-18370,Natalie Decherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,Fur-Ch-10000422,Furniture,Chairs,Global Highback Leather Tilter In Burgundy,545.9399999999999,6,0.0,87.35040000000004,2020,January,1,3,Monday,3,0.1600000000000001,High,Low Profit
24,Us-2020-157147,2020-01-13,2020-01-18,Standard Class,Bd-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Off-Ar-10003514,Office Supplies,Art,4009 Highlighters By Sanford,19.9,5,0.0,6.566999999999998,2020,January,1,3,Monday,5,0.32999999999999996,Low,Low Profit
25,Us-2020-118192,2020-01-13,2020-01-18,Standard Class,Mm-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,Off-Bi-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.4380000000000006,2,0.7,-2.5212000000000003,2020,January,1,3,Monday,5,-0.7333333333333333,Low,Loss
26,Us-2020-162775,2020-01-13,2020-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-Bi-10004187,Office Supplies,Binders,3-Ring Staple Pack,5.64,3,0.0,2.7071999999999994,2020,January,1,3,Monday,2,0.4799999999999999,Low,Low Profit
